Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
BDG001	BDG001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/BDG001_mybaits_sorted_noqc.bam
BDG002	BDG002_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/BDG002_mybaits_sorted_noqc.bam
BDG006	BDG006_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/BDG006_mybaits_sorted_noqc.bam
BRW001	BRW001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/BRW001_mybaits_sorted_noqc.bam
DSZ007	DSZ007_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/DSZ007_mybaits_sorted_noqc.bam
DVT014	DVT014_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/DVT014_mybaits_sorted_noqc.bam
DVT016	DVT016_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/DVT016_mybaits_sorted_noqc.bam
DVT017	DVT017_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/DVT017_mybaits_sorted_noqc.bam
DVT022	DVT022_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/DVT022_mybaits_sorted_noqc.bam
ENG001	ENG001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/ENG001_mybaits_sorted_noqc.bam
GAB001	GAB001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/GAB001_mybaits_sorted_noqc.bam
HOC005	HOC005_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/HOC005_mybaits_sorted_noqc.bam
HOC007	HOC007_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/HOC007_mybaits_sorted_noqc.bam
KCZ001	KCZ001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/KCZ001_mybaits_sorted_noqc.bam
KCZ003	KCZ003_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/KCZ003_mybaits_sorted_noqc.bam
KCZ004	KCZ004_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/KCZ004_mybaits_sorted_noqc.bam
KCZ006	KCZ006_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/KCZ006_mybaits_sorted_noqc.bam
KCZ008	KCZ008_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/KCZ008_mybaits_sorted_noqc.bam
KCZ009	KCZ009_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/KCZ009_mybaits_sorted_noqc.bam
KCZ010	KCZ010_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/KCZ010_mybaits_sorted_noqc.bam
KCZ011	KCZ011_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/KCZ011_mybaits_sorted_noqc.bam
KCZ012	KCZ012_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/KCZ012_mybaits_sorted_noqc.bam
KCZ016	KCZ016_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/KCZ016_mybaits_sorted_noqc.bam
KMP001	KMP001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/KMP001_mybaits_sorted_noqc.bam
KZR002	KZR002_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/KZR002_mybaits_sorted_noqc.bam
LSS003	LSS003_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/LSS003_mybaits_sorted_noqc.bam
LSS004	LSS004_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/LSS004_mybaits_sorted_noqc.bam
NCP001	NCP001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/NCP001_mybaits_sorted_noqc.bam
NCP002	NCP002_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/NCP002_mybaits_sorted_noqc.bam
NDS001	NDS001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/NDS001_mybaits_sorted_noqc.bam
OTL001	OTL001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/OTL001_mybaits_sorted_noqc.bam
RTT001	RTT001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/RTT001_mybaits_sorted_noqc.bam
SLN001	SLN001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/SLN001_mybaits_sorted_noqc.bam
SLN002	SLN002_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/SLN002_mybaits_sorted_noqc.bam
SLN003	SLN003_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/SLN003_mybaits_sorted_noqc.bam
SLN004	SLN004_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/SLN004_mybaits_sorted_noqc.bam
STY002	STY002_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/STY002_mybaits_sorted_noqc.bam
STY004	STY004_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/STY004_mybaits_sorted_noqc.bam
TDN001	TDN001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/TDN001_mybaits_sorted_noqc.bam
TDN002	TDN002_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/TDN002_mybaits_sorted_noqc.bam
TPC001	TPC001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/TPC001_mybaits_sorted_noqc.bam
TPC003	TPC003_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/TPC003_mybaits_sorted_noqc.bam
TPC019	TPC019_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/TPC019_mybaits_sorted_noqc.bam
URB001	URB001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/URB001_mybaits_sorted_noqc.bam
VKP001	VKP001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/VKP001_mybaits_sorted_noqc.bam
VKP002	VKP002_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/VKP002_mybaits_sorted_noqc.bam
VKP003	VKP003_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/VKP003_mybaits_sorted_noqc.bam
WMP001	WMP001_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/WMP001_mybaits_sorted_noqc.bam
WMP003	WMP003_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/WMP003_mybaits_sorted_noqc.bam
WMP005	WMP005_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/WMP005_mybaits_sorted_noqc.bam
WMP006	WMP006_mybaits	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_mybaits/results/ext_mapped/WMP006_mybaits_sorted_noqc.bam
