Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
DSZ007	DSZ007_TE	4	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/DSZ007_TE_sorted_noqc.bam
DVT014	DVT014_TE	4	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/DVT014_TE_sorted_noqc.bam
DVT017	DVT017_TE	4	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/DVT017_TE_sorted_noqc.bam
DVT022	DVT022_TE	4	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/DVT022_TE_sorted_noqc.bam
KCZ003	KCZ003_TE	4	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/KCZ003_TE_sorted_noqc.bam
KCZ012	KCZ012_TE	4	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/KCZ012_TE_sorted_noqc.bam
NCP001	NCP001_TE	4	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/NCP001_TE_sorted_noqc.bam
TDN002	TDN002_TE	4	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/TDN002_TE_sorted_noqc.bam
TPC001	TPC001_TE	4	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/TPC001_TE_sorted_noqc.bam
TPC019	TPC019_TE	4	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/TPC019_TE_sorted_noqc.bam
WMP006	WMP006_TE	4	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/WMP006_TE_sorted_noqc.bam
BDG001	BDG001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/BDG001_TE_sorted_noqc.bam
BDG002	BDG002_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/BDG002_TE_sorted_noqc.bam
BDG006	BDG006_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/BDG006_TE_sorted_noqc.bam
BRW001	BRW001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/BRW001_TE_sorted_noqc.bam
DVT016	DVT016_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/DVT016_TE_sorted_noqc.bam
ENG001	ENG001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/ENG001_TE_sorted_noqc.bam
GAB001	GAB001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/GAB001_TE_sorted_noqc.bam
HOC005	HOC005_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/HOC005_TE_sorted_noqc.bam
HOC007	HOC007_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/HOC007_TE_sorted_noqc.bam
KCZ001	KCZ001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/KCZ001_TE_sorted_noqc.bam
KCZ004	KCZ004_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/KCZ004_TE_sorted_noqc.bam
KCZ006	KCZ006_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/KCZ006_TE_sorted_noqc.bam
KCZ008	KCZ008_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/KCZ008_TE_sorted_noqc.bam
KCZ009	KCZ009_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/KCZ009_TE_sorted_noqc.bam
KCZ010	KCZ010_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/KCZ010_TE_sorted_noqc.bam
KCZ011	KCZ011_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/KCZ011_TE_sorted_noqc.bam
KCZ016	KCZ016_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/KCZ016_TE_sorted_noqc.bam
KMP001	KMP001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/KMP001_TE_sorted_noqc.bam
KZR002	KZR002_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/KZR002_TE_sorted_noqc.bam
LSS003	LSS003_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/LSS003_TE_sorted_noqc.bam
LSS004	LSS004_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/LSS004_TE_sorted_noqc.bam
NCP002	NCP002_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/NCP002_TE_sorted_noqc.bam
NDS001	NDS001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/NDS001_TE_sorted_noqc.bam
OTL001	OTL001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/OTL001_TE_sorted_noqc.bam
RTT001	RTT001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/RTT001_TE_sorted_noqc.bam
SLN001	SLN001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/SLN001_TE_sorted_noqc.bam
SLN002	SLN002_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/SLN002_TE_sorted_noqc.bam
SLN003	SLN003_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/SLN003_TE_sorted_noqc.bam
SLN004	SLN004_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/SLN004_TE_sorted_noqc.bam
STY002	STY002_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/STY002_TE_sorted_noqc.bam
STY004	STY004_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/STY004_TE_sorted_noqc.bam
TDN001	TDN001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/TDN001_TE_sorted_noqc.bam
TPC003	TPC003_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/TPC003_TE_sorted_noqc.bam
URB001	URB001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/URB001_TE_sorted_noqc.bam
VKP001	VKP001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/VKP001_TE_sorted_noqc.bam
VKP002	VKP002_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/VKP002_TE_sorted_noqc.bam
VKP003	VKP003_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/VKP003_TE_sorted_noqc.bam
WMP001	WMP001_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/WMP001_TE_sorted_noqc.bam
WMP003	WMP003_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/WMP003_TE_sorted_noqc.bam
WMP005	WMP005_TE	1	2	SE	Corvus	single	none	NA	NA	/dss/dsslegfs01/pr53da/pr53da-dss-0018/projects/2020__ancientDNA/05_aDNA/00_eager_twist/results/ext_mapped/WMP005_TE_sorted_noqc.bam
