Country	Samples	Age	Period
GB	BDG001	2007	1500-3000
GB	BDG002	1821	1500-3000
GB	BDG006	1921	1500-3000
PL	BRW001	1904	1500-3000
PL	DSZ007	332	100-1500
B	DVT014	13319	more_than_10k
B	DVT016	13281	more_than_10k
B	DVT017	13732	more_than_10k
B	DVT022	19654	more_than_10k
D	ENG001	1896	1500-3000
F	GAB001	NA	unknown
D	HOC005	5330	5000-6000
D	HOC007	NA	unknown
PL	KCZ001	717	100-1500
PL	KCZ003	282	100-1500
PL	KCZ004	673	100-1500
PL	KCZ006	427	100-1500
PL	KCZ008	350	100-1500
PL	KCZ009	922	100-1500
PL	KCZ010	270	100-1500
PL	KCZ011	647	100-1500
PL	KCZ012	773	100-1500
PL	KCZ016	472	100-1500
NL	KMP001	647	100-1500
B	KZR002	16182	more_than_10k
F	LSS003	NA	unknown
F	LSS004	NA	unknown
B	NCP001	1639	1500-3000
B	NCP002	1872	1500-3000
PL	NDS001	370	100-1500
RUS	OTL001	NA	unknown
D	RTT001	1971	1500-3000
E	SLN001	1178	100-1500
E	SLN002	1145	100-1500
E	SLN003	1166	100-1500
E	SLN004	1149	100-1500
RUS	STY002	NA	unknown
RUS	STY004	NA	unknown
BE	TDN001	155	100-1500
BE	TDN002	935	100-1500
B	TPC001	197	100-1500
B	TPC003	164	100-1500
B	TPC019	NA	unknown
D	URB001	NA	unknown
B	VKP001	883	100-1500
B	VKP002	1138	100-1500
B	VKP003	1159	100-1500
D	WMP001	1878	1500-3000
D	WMP003	NA	unknown
D	WMP005	2054	1500-3000
D	WMP006	1941	1500-3000
