Sample,Country,Age,Method,Sex,Informative_sequence_count (Mbp)_of_library,Expected_genomic_coverage_of_library,Expected_genomic_coverage_of_input,Endogenous_DNA_shotgun,Nr_rawreads,Nr_mapped_reads,Endogenous_DNA,Mean_length_mapped_reads,All_mapped_reads_to_104k_80bp,All_mapped_reads_to_104k_121bp,All_mapped_reads_to_232k_80bp,All_non_comparable_mapped_reads,All_MT_reads,Mean_cov_of_104k_80bp_incdup,Mean_cov_of_104k_SNPsite_incdup,at_least_1X_of_target_104k_SNPsite_incdup,at_least_2X_of_target_104k_SNPsite_incdup,at_least_3X_of_target_104k_SNPsite_incdup,at_least_4X_of_target_104k_SNPsite_incdup,at_least_5X_of_target_104k_SNPsite_incdup,MT_to_nuclear_ratio_dedup,Nr_dedup_mapped_reads,Mean_cov_of_target_232k_SNPsite,Mean _cov_of_target_104k_80bp_dedup,Mean_cov_of_original_panel_dedup,Mean_cov_of_target_104k_SNPsite_dedup,GC_dedup_mapped_reads,5_Prime_C>T_1st_base_on-target_104k_80bp_dedup
BRW001,PL,1904,myBaits,male,2366596.726,2113.032791,295.8245908,90.05,24454838,22757360,93.06,64.74,15719940,15828815,15917840,306775,1195,94.3,115.8,0.986,0.981,0.976,0.971,0.965,3.7,8974289,20,37,31.3,43.4,42,10.1
DSZ007,PL,332,myBaits,male,22676.08292,20.24650261,2.834510365,10.13,29670358,10681394,36,51.83,7782772,7815490,7940281,190227,197,43.1,52.5,0.941,0.924,0.906,0.887,0.869,2.2,2229539,3.3,6.2,5.1,7.1,44,14.5
DVT014,B,13319,myBaits,male,9523.440566,8.503071934,1.190430071,19.51,23846909,11046297,46.32,44.85,7715819,7733295,7841098,142755,4285,39,49.6,0.875,0.846,0.818,0.792,0.768,75.2,1515819,1.3,2.6,2.1,2.9,43,52.4
DVT017,B,13732,myBaits,male,6072.275907,5.421674917,0.759034488,16.79,16369082,5545818,33.88,42.6,4183066,4197126,4210518,41512,84,20.3,24.9,0.549,0.526,0.502,0.479,0.458,3.1,596336,0.5,1,0.8,1.1,44,47.2
KCZ001,PL,717,myBaits,female,5905.381225,5.272661808,0.738172653,0.86,20013119,963321,4.81,51.63,700322,702799,707106,9261,28,3.8,4.7,0.565,0.497,0.431,0.373,0.321,2.4,283531,0.5,0.9,0.8,1.1,43,16.7
KCZ003,PL,282,myBaits,male,24156.6122,21.56840375,3.019576526,9.76,19646866,9807994,49.92,57.65,7013355,7053895,7121125,148310,1242,41.4,51.5,0.958,0.942,0.925,0.907,0.889,16.4,2108026,3.8,7,5.8,8.1,43,6.9
KCZ004,PL,673,myBaits,female,35125.70064,31.36223272,4.39071258,1.45,13435727,1059358,7.88,51.05,722938,724966,736805,15895,46,3.8,4.8,0.65,0.561,0.476,0.403,0.34,3.1,399133,0.8,1.4,1.1,1.8,42,14.9
KCZ006,PL,427,myBaits,male,31238.16224,27.89121628,3.90477028,4.04,39111105,4836172,12.37,58.82,2730066,2757435,2782022,79325,1874,16.8,20.7,0.924,0.886,0.845,0.806,0.769,29.4,1890288,3,5.4,4.5,6.4,43,10.1
KCZ008,PL,350,myBaits,male,13284.07993,11.86078565,1.660509992,1.66,32594433,3425818,10.51,56.09,2283998,2296558,2317758,46320,1394,13.3,16.5,0.854,0.81,0.762,0.716,0.671,41.2,924911,1.6,2.9,2.4,3.4,43,8.4
KCZ009,PL,922,myBaits,male,31199.80279,27.85696678,3.899975349,21.96,24739870,14774879,59.72,57.73,10474020,10518783,10608410,179153,1985,62.9,77.9,0.98,0.972,0.963,0.955,0.945,17.8,3667027,5.5,10.3,8.7,12,44,15.6
